record_index,reference_order,prediction_order,resolved,prediction_text
2,2-5-4-1-3,1-5-3-4-2,True,Contig 1-Contig 5-Contig 3-Contig 4-Contig 2
3,5-4-3-1-2,5-1-3-4-2,True,Contig 5-Contig 1-Contig 3-Contig 4-Contig 2
4,2-5-4-3-1,3-4-5-1-2,True,Contig 3-Contig 4-Contig 5-Contig 1-Contig 2
7,1-2-4-3-5,4-3-2-5-1,True,Contig 4-Contig 3-Contig 2-Contig 5-Contig 1
9,5-3-1-2-4,5-3-1-4-2,True,Contig 5-Contig 3-Contig 1-Contig 4-Contig 2
10,5-1-3-2-4,5-2-4-3-1,True,Contig 5-Contig 2-Contig 4-Contig 3-Contig 1
12,1-5-4-2-3,5-2-4-1-3,True,Contig 5-Contig 2-Contig 4-Contig 1-Contig 3
17,2-1-5-4-3,1-5-4-2-3,True,Contig 1-Contig 5-Contig 4-Contig 2-Contig 3
28,4-1-3-2-5,5-4-1-2-3,True,Contig 5-Contig 4-Contig 1-Contig 2-Contig 3
32,3-5-1-4-2,3-5-4-1-2,True,Contig 3-Contig 5-Contig 4-Contig 1-Contig 2
33,2-5-4-3-1,2-5-1-4-3,True,Contig 2-Contig 5-Contig 1-Contig 4-Contig 3
35,4-1-5-2-3,4-5-2-3-1,True,Contig 4-Contig 5-Contig 2-Contig 3-Contig 1
37,2-5-1-3-4,5-2-1-4-3,True,Contig 5-Contig 2-Contig 1-Contig 4-Contig 3
40,2-4-5-3-1,1-4-5-2-3,True,Contig 1-Contig 4-Contig 5-Contig 2-Contig 3
44,2-1-3-4-5,2-4-5-1-3,True,Contig 2-Contig 4-Contig 5-Contig 1-Contig 3
46,5-1-3-2-4,4-2-5-1-3,True,Contig 4-Contig 2-Contig 5-Contig 1-Contig 3
51,1-3-2-5-4,1-2-5-4-3,True,Contig 1-Contig 2-Contig 5-Contig 4-Contig 3
54,1-5-4-2-3,1-5-3-2-4,True,Contig 1-Contig 5-Contig 3-Contig 2-Contig 4
55,1-2-3-5-4,1-2-3-4-5,True,Contig 1-Contig 2-Contig 3-Contig 4-Contig 5
57,1-2-4-5-3,3-1-2-5-4,True,Contig 3-Contig 1-Contig 2-Contig 5-Contig 4
