record_index,reference_label,prediction_label,prediction_text,resolved
19,essential,non-essential,non-essential,True
21,essential,non-essential,non-essential,True
24,non-essential,essential,essential,True
65,essential,non-essential,non-essential,True
71,essential,non-essential,non-essential,True
77,essential,non-essential,non-essential,True
79,essential,non-essential,non-essential,True
89,essential,non-essential,non-essential,True
94,essential,non-essential,non-essential,True
101,essential,non-essential,non-essential,True
107,essential,non-essential,non-essential,True
111,non-essential,essential,essential,True
116,essential,non-essential,non-essential,True
125,essential,non-essential,non-essential,True
133,essential,non-essential,non-essential,True
140,essential,non-essential,non-essential,True
147,essential,non-essential,non-essential,True
156,essential,non-essential,non-essential,True
168,essential,non-essential,non-essential,True
171,essential,non-essential,non-essential,True
194,essential,non-essential,non-essential,True
214,non-essential,essential,essential,True
229,essential,non-essential,non-essential,True
233,essential,non-essential,non-essential,True
251,essential,non-essential,non-essential,True
254,essential,non-essential,non-essential,True
270,essential,non-essential,non-essential,True
279,essential,non-essential,non-essential,True
289,essential,non-essential,non-essential,True
290,essential,non-essential,non-essential,True
296,essential,non-essential,non-essential,True
325,essential,non-essential,non-essential,True
333,essential,non-essential,non-essential,True
338,essential,non-essential,non-essential,True
363,essential,non-essential,non-essential,True
367,essential,non-essential,non-essential,True
374,essential,non-essential,non-essential,True
377,essential,non-essential,non-essential,True
378,essential,non-essential,non-essential,True
381,essential,non-essential,non-essential,True
388,essential,non-essential,non-essential,True
393,essential,non-essential,non-essential,True
397,essential,non-essential,non-essential,True
398,essential,non-essential,non-essential,True
399,essential,non-essential,non-essential,True
411,non-essential,essential,essential,True
418,essential,non-essential,non-essential,True
433,non-essential,essential,essential,True
437,essential,non-essential,non-essential,True
448,essential,non-essential,non-essential,True
463,essential,non-essential,non-essential,True
480,essential,non-essential,non-essential,True
486,essential,non-essential,non-essential,True
538,essential,non-essential,non-essential,True
540,essential,non-essential,non-essential,True
549,essential,non-essential,non-essential,True
550,essential,non-essential,non-essential,True
561,essential,non-essential,non-essential,True
562,essential,non-essential,non-essential,True
564,essential,non-essential,non-essential,True
570,essential,non-essential,non-essential,True
589,essential,non-essential,non-essential,True
603,essential,non-essential,non-essential,True
615,essential,non-essential,non-essential,True
619,essential,non-essential,non-essential,True
622,essential,non-essential,non-essential,True
630,essential,non-essential,non-essential,True
632,essential,non-essential,non-essential,True
635,essential,non-essential,non-essential,True
640,essential,non-essential,non-essential,True
642,essential,non-essential,non-essential,True
656,essential,non-essential,non-essential,True
670,essential,non-essential,non-essential,True
671,essential,non-essential,non-essential,True
675,essential,non-essential,non-essential,True
677,essential,non-essential,non-essential,True
680,essential,non-essential,non-essential,True
686,essential,non-essential,non-essential,True
692,essential,non-essential,non-essential,True
720,essential,non-essential,non-essential,True
726,essential,non-essential,non-essential,True
727,essential,non-essential,non-essential,True
729,non-essential,essential,essential,True
739,non-essential,essential,essential,True
755,essential,non-essential,non-essential,True
759,essential,non-essential,non-essential,True
762,essential,non-essential,non-essential,True
770,essential,non-essential,non-essential,True
771,essential,non-essential,non-essential,True
774,essential,non-essential,non-essential,True
776,essential,non-essential,non-essential,True
781,non-essential,essential,essential,True
804,essential,non-essential,non-essential,True
816,essential,non-essential,non-essential,True
821,essential,non-essential,non-essential,True
839,essential,non-essential,non-essential,True
842,essential,non-essential,non-essential,True
843,essential,non-essential,non-essential,True
850,essential,non-essential,non-essential,True
872,essential,non-essential,non-essential,True
873,essential,non-essential,non-essential,True
877,essential,non-essential,non-essential,True
897,essential,non-essential,non-essential,True
898,essential,non-essential,non-essential,True
903,essential,non-essential,non-essential,True
909,essential,non-essential,non-essential,True
923,essential,non-essential,non-essential,True
926,essential,non-essential,non-essential,True
933,essential,non-essential,non-essential,True
941,non-essential,essential,essential,True
943,essential,non-essential,non-essential,True
946,essential,non-essential,non-essential,True
961,essential,non-essential,non-essential,True
962,essential,non-essential,non-essential,True
966,essential,non-essential,non-essential,True
978,essential,non-essential,non-essential,True
981,essential,non-essential,non-essential,True
991,essential,non-essential,non-essential,True
994,non-essential,essential,essential,True
